isolate	recommended_1	recommended_2	Predicted Profile	Recommended Treatment	Comment	ceftriaxone+azithromycin	ceftriaxone	azithromycin	azithromycin+spectinomycin	ciprofloxacin	spectinomycin	zoliflodacin	chosen_regimen
WHO_A_SRR27944640	ceftriaxone	azithromycin	ceftriaxone=YES, azithromycin=YES, ciprofloxacin=YES	Ceftriaxone 1 g IM + Azithromycin 2 g orally	Acceptable combination therapy (RECOMMENDATION 2)	YES	NO	NO	NO	NO	NO	NO	ceftriaxone+azithromycin
WHO_B_SRR27944628	ceftriaxone	azithromycin	ceftriaxone=YES, azithromycin=YES, ciprofloxacin=YES	Ceftriaxone 1 g IM + Azithromycin 2 g orally	Acceptable combination therapy (RECOMMENDATION 2)	YES	NO	NO	NO	NO	NO	NO	ceftriaxone+azithromycin
WHO_C_SRR27944606	ceftriaxone	azithromycin	ceftriaxone=YES, azithromycin=YES, ciprofloxacin=YES	Ceftriaxone 1 g IM + Azithromycin 2 g orally	Acceptable combination therapy (RECOMMENDATION 2)	YES	NO	NO	NO	NO	NO	NO	ceftriaxone+azithromycin
WHO_D_SRR27944595	ceftriaxone	azithromycin	ceftriaxone=YES, azithromycin=YES, ciprofloxacin=YES	Ceftriaxone 1 g IM + Azithromycin 2 g orally	Acceptable combination therapy (RECOMMENDATION 2)	YES	NO	NO	NO	NO	NO	NO	ceftriaxone+azithromycin
WHO_E_SRR27944586	ceftriaxone	azithromycin	ceftriaxone=YES, azithromycin=YES, ciprofloxacin=YES	Ceftriaxone 1 g IM + Azithromycin 2 g orally	Acceptable combination therapy (RECOMMENDATION 2)	YES	NO	NO	NO	NO	NO	NO	ceftriaxone+azithromycin
WHO_F_SRR27944585	ceftriaxone	azithromycin	ceftriaxone=YES, azithromycin=YES, ciprofloxacin=YES	Ceftriaxone 1 g IM + Azithromycin 2 g orally	Acceptable combination therapy (RECOMMENDATION 2)	YES	NO	NO	NO	NO	NO	NO	ceftriaxone+azithromycin
WHO_G_SRR27944584	ceftriaxone	azithromycin	ceftriaxone=YES, azithromycin=YES, ciprofloxacin=NO	Ceftriaxone 1 g IM + Azithromycin 2 g orally	Acceptable combination therapy (RECOMMENDATION 2)	YES	NO	NO	NO	NO	NO	NO	ceftriaxone+azithromycin
WHO_H_SRR27944583	ceftriaxone	azithromycin	ceftriaxone=YES, azithromycin=YES, ciprofloxacin=NO	Ceftriaxone 1 g IM + Azithromycin 2 g orally	Acceptable combination therapy (RECOMMENDATION 2)	YES	NO	NO	NO	NO	NO	NO	ceftriaxone+azithromycin
WHO_I_SRR27944638	ceftriaxone	azithromycin	ceftriaxone=YES, azithromycin=YES, ciprofloxacin=NO	Ceftriaxone 1 g IM + Azithromycin 2 g orally	Acceptable combination therapy (RECOMMENDATION 2)	YES	NO	NO	NO	NO	NO	NO	ceftriaxone+azithromycin
WHO_J_SRR27944637	ceftriaxone	azithromycin	ceftriaxone=YES, azithromycin=YES, ciprofloxacin=NO	Ceftriaxone 1 g IM + Azithromycin 2 g orally	Acceptable combination therapy (RECOMMENDATION 2)	YES	NO	NO	NO	NO	NO	NO	ceftriaxone+azithromycin
WHO_K_SRR27944636	ceftriaxone	azithromycin	ceftriaxone=YES, azithromycin=YES, ciprofloxacin=NO	Ceftriaxone 1 g IM + Azithromycin 2 g orally	Acceptable combination therapy (RECOMMENDATION 2)	YES	NO	NO	NO	NO	NO	NO	ceftriaxone+azithromycin
WHO_L_SRR27944635	ceftriaxone	azithromycin	ceftriaxone=YES, azithromycin=YES, ciprofloxacin=NO	Ceftriaxone 1 g IM + Azithromycin 2 g orally	Acceptable combination therapy (RECOMMENDATION 2)	YES	NO	NO	NO	NO	NO	NO	ceftriaxone+azithromycin
WHO_M_SRR27944634	ceftriaxone	azithromycin	ceftriaxone=YES, azithromycin=YES, ciprofloxacin=NO	Ceftriaxone 1 g IM + Azithromycin 2 g orally	Acceptable combination therapy (RECOMMENDATION 2)	YES	NO	NO	NO	NO	NO	NO	ceftriaxone+azithromycin
WHO_N_SRR27944633	ceftriaxone	azithromycin	ceftriaxone=YES, azithromycin=YES, ciprofloxacin=NO	Ceftriaxone 1 g IM + Azithromycin 2 g orally	Acceptable combination therapy (RECOMMENDATION 2)	YES	NO	NO	NO	NO	NO	NO	ceftriaxone+azithromycin
WHO_O_SRR27944632	ceftriaxone	azithromycin	ceftriaxone=YES, azithromycin=YES, ciprofloxacin=YES	Ceftriaxone 1 g IM + Azithromycin 2 g orally	Acceptable combination therapy (RECOMMENDATION 2)	YES	NO	NO	NO	NO	NO	NO	ceftriaxone+azithromycin
WHO_P_SRR27944631	ceftriaxone	ciprofloxacin	ceftriaxone=YES, azithromycin=NO, ciprofloxacin=YES	Ceftriaxone 1 g IM	Guideline-based monotherapy (RECOMMENDATION 1)	NO	YES	NO	NO	NO	NO	NO	ceftriaxone
WHO_Q_SRR27944630	None	None	ceftriaxone=NO, azithromycin=NO, ciprofloxacin=NO	XDR_isolate — manual follow-up	Flag for review	NO	NO	NO	NO	NO	NO	NO	None
WHO_R_SRR27944629	azithromycin	zoliflodacin	ceftriaxone=NO, azithromycin=YES, ciprofloxacin=NO	Zoliflodacin 3 g orally (single dose)	Investigational oral option; phase 3 non-inferior to ceftriaxone+azithromycin for uncomplicated urogenital infection	NO	NO	NO	NO	NO	NO	YES	zoliflodacin
WHO_S2_SRR27944626	ceftriaxone	ciprofloxacin	ceftriaxone=YES, azithromycin=NO, ciprofloxacin=YES	Ceftriaxone 1 g IM	Guideline-based monotherapy (RECOMMENDATION 1)	NO	YES	NO	NO	NO	NO	NO	ceftriaxone
WHO_S_SRR27944627	ceftriaxone	ciprofloxacin	ceftriaxone=YES, azithromycin=NO, ciprofloxacin=YES	Ceftriaxone 1 g IM	Guideline-based monotherapy (RECOMMENDATION 1)	NO	YES	NO	NO	NO	NO	NO	ceftriaxone
WHO_T_SRR27944625	ceftriaxone	azithromycin	ceftriaxone=YES, azithromycin=YES, ciprofloxacin=YES	Ceftriaxone 1 g IM + Azithromycin 2 g orally	Acceptable combination therapy (RECOMMENDATION 2)	YES	NO	NO	NO	NO	NO	NO	ceftriaxone+azithromycin
WHO_U_SRR27944624	ceftriaxone	ciprofloxacin	ceftriaxone=YES, azithromycin=NO, ciprofloxacin=YES	Ceftriaxone 1 g IM	Guideline-based monotherapy (RECOMMENDATION 1)	NO	YES	NO	NO	NO	NO	NO	ceftriaxone
